ensembl_id gene_id RNAseq-akata-noks-methyl_cell-clone1 RNAseq-akata-noks-methyl_cell-clone2 RNAseq-akata-noks-no_treatment-clone1 RNAseq-akata-noks-no_treatment-clone2
ENSG00000000003 TSPAN6 19.52980486086513 15.827218576175973 14.569831009548146 14.124959618549735
ENSG00000000005 TNMD 0.057087921810225865 0 0 0
ENSG00000000419 DPM1 81.73669310937059 62.09323511089347 67.06153946647036 66.69626646388299
ENSG00000000457 SCYL3 7.564638768992412 6.331623941932326 4.976649655722596 5.6387517599828785
ENSG00000000460 C1orf112 5.047489849156401 7.409694221464395 10.259090977197095 18.402073025584748
ENSG00000000938 FGR 0.21348932147662145 0.5232028659168501 0.1956207842000798 0.05941674480729284
ENSG00000000971 CFH 4.797306208523907 4.638362319646346 13.270814952325486 10.909744580981618
ENSG00000001036 FUCA2 1.9938178334401133 41.491534098123786 4.938696713058714 36.79211740644832
ENSG00000001084 GCLC 79.2416025237323 135.4700093391202 175.28177194252888 107.16131908028042
ENSG00000001167 NFYA 8.099718520191356 5.82874226009033 17.319324482494014 22.826468828777603
ENSG00000001460 C1orf201 10.556818102620339 12.002014418708292 8.340950225267008 15.173046262097884
ENSG00000001461 NIPAL3 10.414131932480554 18.315936783925967 32.13672785325836 35.260245048005096
ENSG00000001497 LAS1L 8.094598039305055 8.019038544242363 17.73504811353797 22.479319443903815
ENSG00000001561 ENPP4 0.016558580381048862 0 0.012367776330331056 0.011171981889306135
ENSG00000001617 SEMA3F 106.61241300195408 104.68479592204419 67.0636146713 52.095974944643814
ENSG00000001626 CFTR 6.009081380952492 3.8665209813894736 17.588514866245475 17.11999960801451
ENSG00000001629 ANKIB1 41.03133965576342 48.82473756500386 77.99561809699213 74.97099962420327
ENSG00000001630 CYP51A1 112.73869831843757 142.3507366574381 128.73305539740036 176.54210029594364
ENSG00000001631 KRIT1 20.516829079621502 28.253739323542604 39.15318829037827 46.39206702759696
ENSG00000002016 RAD52 7.090984575403272 11.47598957181069 29.488147982316622 23.371321581847866
ENSG00000002330 BAD 40.48569976120819 47.34973501797862 49.08256391532396 63.73434599381015
ENSG00000002549 LAP3 25.471168403207386 24.610614250658102 26.50794340694232 40.446827773595324
ENSG00000002586 CD99 25.12313846170036 56.543414567958536 45.80759555685936 66.58347860148315
ENSG00000002587 HS3ST1 0.329836333055718 2.7337530702743806 3.0104424860251267 1.0837256517980218
ENSG00000002726 ABP1 0.16111207954937412 0.10779057887463553 0.31123811619263736 0.2535498577469934
ENSG00000002745 WNT16 0.0623612976384586 0.12482715032734379 0.23449205777567028 0.07934543091367824
ENSG00000002746 HECW1 0.3349885102781077 0.09898557673895023 0.5056155844244652 3.0316880765635656
ENSG00000002822 MAD1L1 18.56124040769279 22.083996590438623 39.40022734507325 47.41756742361732
ENSG00000002834 LASP1 50.106397503824276 72.62094009518657 104.52398688600452 125.84655480004477
ENSG00000002919 SNX11 11.011918783273995 9.916644826412409 7.123119832968859 8.597467407794008
ENSG00000002933 TMEM176A 0.7310386202365978 0.8812511493909724 1.8322893142968957 1.5144146214903782
ENSG00000003056 M6PR 98.91186913207254 89.66831292873981 135.81074468802646 123.38435703536338
ENSG00000003096 KLHL13 0.7008784297441744 0.77910186840380935 4.210615802108597 5.885790305299219
ENSG00000003137 CYP26B1 4.836091214203092 2.8821637911335705 0.797458609953967 0.4145621962431475
ENSG00000003147 ICA1 4.851158609167928 7.684159250791844 7.956127524571906 13.038776133857883
ENSG00000003249 DBNDD1 0.279125632472398 4.498311548153927 0.02760297684501774 0.5106611158103581
ENSG00000003393 ALS2 18.143798350860504 27.691648025609023 21.473346566407916 33.35339396302503
ENSG00000003400 CASP10 20.064316421149428 12.461318423288777 13.964227000943877 13.446883296300854
ENSG00000003402 CFLAR 64.57500777016833 46.66661372854392 55.42005881101713 54.07683042878313
ENSG00000003436 TFPI 41.21675569138523 48.911996759245106 140.64791400649165 155.82582182813795
ENSG00000003509 C2orf56 14.14287136859304 17.25752221809356 20.760104322098403 23.9202656235312
ENSG00000003756 RBM5 91.1246549881399 88.33731086073811 106.88060184926755 82.69347965534729
ENSG00000003987 MTMR7 2.0477191274302724 1.885900429698917 2.606191424817165 2.997524025004409
ENSG00000003989 SLC7A2 0.2896684086357192 2.7251973095104858 2.8748715732925647 13.189706314732927
ENSG00000004059 ARF5 128.34234447833683 113.31211852517752 126.31624962483122 127.93730447734049
ENSG00000004139 SARM1 0.21725265288424306 0.8810810233543014 0.28803428439142126 1.214534580682816
ENSG00000004399 PLXND1 1.1242593691271427 3.454706246707344 1.561215845811919 7.436102468835872
