file,total,mapped,mapped_perc
RNAseq-akata-noks-CaFBS-rep1_rsem_default,46090189.0,39918339.0,0.8660918921378257
RNAseq-akata-noks-CaFBS-rep2_rsem_default,25832522.0,16663776.0,0.6450696528972277
RNAseq-akata-noks-CaFBS-rep3_rsem_default,31548887.0,21159892.0,0.6707016954354047
RNAseq-akata-noks-methyl_cell-rep1_rsem_default,23843595.0,21989878.0,0.9222551381199018
RNAseq-akata-noks-methyl_cell-rep2_rsem_default,22964158.0,20740919.0,0.9031865657778526
RNAseq-akata-noks-methyl_cell-rep3_rsem_default,20190546.0,18411008.0,0.9118628094554748
RNAseq-akata-noks-no_treatment-rep1_rsem_default,24738646.0,14923987.0,0.6032661205467753
RNAseq-akata-noks-no_treatment-rep2_rsem_default,20133523.0,10872477.0,0.5400186047916204
RNAseq-akata-noks-no_treatment-rep3_rsem_default,44257592.0,31109313.0,0.7029147225181163
RNAseq-akata-noks-no_treatment-rep4_rsem_default,16453801.0,12302074.0,0.7476736834242739
RNAseq-noks-CaFBS-rep1_rsem_default,20918273.0,16709631.0,0.7988054750026449
RNAseq-noks-CaFBS-rep2_rsem_default,19145123.0,14508744.0,0.7578297616578384
RNAseq-noks-CaFBS-rep3_rsem_default,14115783.0,10416308.0,0.7379192496795962
RNAseq-Noks_EBV-MC-rep1_rsem_default,24367026.0,21637947.0,0.8880011454824237
RNAseq-Noks_EBV-MC-rep2_rsem_default,33899258.0,29379111.0,0.8666594118372738
RNAseq-Noks_EBV-MC-rep3_rsem_default,39523354.0,37239975.0,0.9422270943908252
RNAseq-Noks_EBV-MC-rep4_rsem_default,30406432.0,28476489.0,0.936528462135906
RNAseq-Noks_EBV-mono-rep1_rsem_default,40184017.0,32038094.0,0.7972845024428493
RNAseq-Noks_EBV-mono-rep2_rsem_default,35110520.0,31893009.0,0.9083604856891895
RNAseq-Noks_EBV-mono-rep3_rsem_default,50194500.0,47370119.0,0.9437312653776808
RNAseq-Noks_EBV-mono-rep4_rsem_default,39942772.0,37693510.0,0.943687884256005
RNAseq-Noks-MC-rep1_rsem_default,23282428.0,20698712.0,0.8890272097051046
RNAseq-Noks-MC-rep2_rsem_default,57410179.0,51342982.0,0.8943184448179478
RNAseq-Noks-MC-rep3_rsem_default,41102488.0,35098405.0,0.8539240982200397
RNAseq-Noks-MC-rep4_rsem_default,41282292.0,38806756.0,0.9400339496653917
RNAseq-noks-methyl_cell-rep1_rsem_default,25223604.0,22268372.0,0.8828386300387526
RNAseq-noks-methyl_cell-rep2_rsem_default,23752280.0,21357438.0,0.8991742266426633
RNAseq-noks-methyl_cell-rep3_rsem_default,25125404.0,21658406.0,0.8620122486388676
RNAseq-Noks-mono-rep1_rsem_default,35298403.0,31626529.0,0.8959762003963748
RNAseq-Noks-mono-rep2_rsem_default,36877444.0,33425568.0,0.9063960072720875
RNAseq-Noks-mono-rep3_rsem_default,38664441.0,36132072.0,0.9345039282993901
RNAseq-Noks-mono-rep4_rsem_default,38382096.0,35879737.0,0.9348040034082558
RNAseq-noks-no_treatment-rep1_rsem_default,15874751.0,10997601.0,0.6927731338904151
RNAseq-noks-no_treatment-rep2_rsem_default,20729192.0,13995898.0,0.6751781738526036
RNAseq-noks-no_treatment-rep3_rsem_default,39650830.0,27573740.0,0.6954139421545527
RNAseq-noks-no_treatment-rep4_rsem_default,14691745.0,8878567.0,0.6043235163692264
