ensembl_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000000003	TSPAN6	111.69393310113676	0.4629826902463322	0.3671879352547158	1.2608875341319812	0.207349370112873	0.3395165266080856
ENSG00000000005	TNMD	0.24696632003006488	0.08679936452139957	0.2547667970557406	0.34070124335083063	0.7333285025581984	NA
ENSG00000000419	DPM1	378.9936090827133	0.672666097006958	0.3007926862336141	2.2363113459631268	0.025331383753754128	0.08212067823700066
ENSG00000000457	SCYL3	80.02557671607279	-0.2417099072092396	0.26790600363267425	-0.9022190765857113	0.3669405030363522	0.5107831558649821
ENSG00000000460	C1orf112	305.5773480545319	0.23597553863027754	0.1509168997284664	1.5636124188533613	0.11790861661267318	0.22855960057399813
ENSG00000000971	CFH	184.25376126000796	-0.9096739805321803	0.26564713068278045	-3.424369682420765	6.162273129663148e-4	0.006284641400351832
ENSG00000001036	FUCA2	401.72655838994206	0.7446725638833124	0.18906784737963458	3.9386525747451056	8.194048054495144e-5	0.0012054672954092498
ENSG00000001084	GCLC	466.3086085751906	-0.6370139902598421	0.11143761567551437	-5.7163282469602406	1.0885038069867109e-8	4.469103452811628e-7
ENSG00000001167	NFYA	337.19028287616334	0.36137447505764014	0.19832675831129312	1.8221165824251904	0.0684372981364026	0.1576335066703927
ENSG00000001460	C1orf201	197.66906003518014	-0.450439058235512	0.3688362119553663	-1.2212441285185431	0.22199360066949755	0.35608936572184374
ENSG00000001461	NIPAL3	567.981395964183	0.13979482722420677	0.10794227371422647	1.2950887767503292	0.19528960611206558	0.32682840060497403
ENSG00000001497	LAS1L	357.38065979020274	0.3554545662255837	0.11873573975207626	2.993661108001545	0.0027565193367173283	0.01933341437876779
ENSG00000001617	SEMA3F	577.6379362590804	-0.4015836561253466	0.17353884630150967	-2.314085086330628	0.020663055316712708	0.07249777659970039
ENSG00000001626	CFTR	12.837767337630869	-0.5578198689031039	0.48022566132306	-1.1615786365232246	0.24540666404285477	0.3817634175226462
ENSG00000001629	ANKIB1	642.3322383510892	0.48394612001258897	0.18056926852541177	2.680113421096805	0.007359721828224179	0.03743076533219435
ENSG00000001630	CYP51A1	1276.9891631180678	-1.6175294199594292	0.22439904781614473	-7.20827220837723	5.666626675171702e-13	4.748368048452357e-11
ENSG00000001631	KRIT1	276.63052372135405	-0.027589632096211344	0.170590249138453	-0.16173041680605837	0.8715181507156571	0.9183691411681607
