symbol	log2FoldChange	stat	padj	expected_count.none	TPM.none	FPKM.none	expected_count.MC	TPM.MC	FPKM.MC
TSPAN6	1.0281650064243146	5.358794066581212	3.453771418436912e-7	638	22.275	17.065	846	36.72	27.2
DPM1	-0.455488811823802	-3.3053794535526833	0.0022200767376667208	2320	126.7	96.44749999999999	1205	77.88	57.57
SCYL3	1.1845454000501574	9.06942736719924	1.790424835656169e-18	243	5.255	4.0125	392	9.6775	7.175
C1orf112	-0.9492370939070051	-6.111749262911419	5.099374636633233e-9	849	18.4225	14.077499999999999	320	6.577500000000001	4.875
FGR	3.142499388576065	2.562544931288691	0.020046293805251757	0	0.055	0.04	5	0.195	0.14250000000000002
CFH	0.6262653948621734	1.4820294183193474	0.19982047770451442	587	11.79	8.975	622	14.745	10.8875
FUCA2	0.08735804170475528	0.45465970647324344	0.722100834721852	714	25.64	19.55	535	22.98	16.9825
GCLC	1.6390608665241697	10.575085393637009	1.033664401830154e-24	1298	57.585	43.995	3009	151.255	111.97749999999999
NFYA	-0.11490069711328392	-0.5186054298851569	0.6818275689446912	698	13.89	10.61	443	11.542499999999999	8.515
C1orf201	0.5365883475283572	2.6436060275251396	0.016149150638874205	430	12.56	9.625	432	16.565	12.295
NIPAL3	-0.12337165970047585	-0.5377300686068665	0.6692928943605424	1275	24.740000000000002	18.9925	783	18.055	13.43
LAS1L	-1.7260318705771185	-7.108745736425026	8.36437211094795e-12	1271	28.8625	22.067500000000003	276	7.71	5.6899999999999995
ENPP4	1.5861390189131714	1.3160193581814297	0.26024171200468577	3	0.04	0.0325	9	0.0975	0.0725
SEMA3F	2.2707487137321745	9.803523605971789	2.1473576832125424e-21	943	25.435000000000002	19.465	3187	102.8	75.9275
CFTR	1.8932171160736515	2.206097749813539	0.04805367269372714	24	2.2775	1.73	70	3.3449999999999998	2.4825
ANKIB1	0.1377587540511287	1.4495868847545028	0.21073381418400566	2756	72.8825	55.645	2145	70.175	51.9875
CYP51A1	-0.1382135049493308	-0.5938176976093634	0.63496564967926306	10228	248.89249999999998	190.17	6796	186.495	137.815
KRIT1	0.12831655891179664	0.7080863949187998	0.5657001800146222	897	29.317500000000003	22.33	692	25.935	19.2025
RAD52	-0.19637483727304786	-1.2808263048453303	0.2741953982566131	205	9.4825	7.225	131	6.595	4.8875
BAD	-0.273866447623363	-1.6924350160239754	0.1382029143664931	934	65.37	50	540	47.1075	34.915
LAP3	-1.6262119982634577	-7.7654703228741395	7.442287770899319e-14	2248	84.5375	64.6675	525	21.905	16.215
CD99	0.028824686502354212	0.1856679638973216	0.8891412841460096	1162	70.1375	53.7775	848	60.905	45.14
HS3ST1	0.0840187616460325	0.26635921260102297	0.8379750980078332	498	6.0825	4.6375	374	4.86	3.6174999999999997
ABP1	6.306026843627732	4.380429666095349	3.698715912916143e-5	0	0.0175	0.015	16	0.48	0.3575
WNT16	1.3435385010919747	1.2007435641284716	0.30863961569487197	2	0.0975	0.075	3	0.14500000000000002	0.1075
HECW1	-1.5799357230236486	-1.2429343046524688	0.28990162378733614	3	0.2575	0.2	0	0.005	0.005
MAD1L1	-0.7091135830237058	-6.2980422190098055	1.6603897738701197e-9	935	45.2375	34.582499999999996	417	22.8325	16.91
LASP1	-0.06208367652179535	-0.359577359047329	0.7812993087213745	4333	89.3575	68.4125	2950	74.6225	55.3975
SNX11	-0.14324371188277152	-1.0407630158059915	0.3830528301283386	622	16.865	12.9025	408	12.649999999999999	9.3825
M6PR	-0.48354398543232363	-3.3257922939941436	0.002076730530129936	4903	250.7125	191.86	2605	150.74	111.5925
KLHL13	-2.0105180578258977	-9.213006738973322	5.004029937841824e-19	275	5.975	4.5649999999999995	48	1.2875	0.9525
CYP26B1	2.1613222148020563	1.4175887842279398	0.22170156555039527	5	0.165	0.1275	16	0.3625	0.2675
ICA1	1.7974294007862255	3.9002712536960464	2.6300217305096866e-4	34	1.4525	1.1225	82	4.6975	3.4975
DBNDD1	4.444052701201488	9.026654111315922	2.6170367973787997e-18	5	0.1275	0.0975	67	2.4625	1.82
ALS2	0.007144109987123074	0.051207294240538055	0.9705846717603528	1395	24.3925	18.6175	971	19.515	14.447500000000002
CASP10	1.60642277947519	7.044121112737369	1.3023947723174466e-11	398	8.09	6.1925	782	20.1175	14.8825
CFLAR	1.2455707465437869	5.181505302342073	8.636948611711282e-7	1364	39.9075	30.535	2146	87.41499999999999	64.8625
TFPI	1.1635707404664415	4.547486254125412	1.7834328898774744e-5	1705	12.5275	9.515	2602	22.3625	16.545
C2orf56	-0.4359792151016466	-3.136927599493164	0.003831959750621845	590	31.4375	23.98	314	19.4175	14.365
RBM5	0.569639016623809	5.599083344152837	9.59537938541688e-8	2130	77.5775	59.17	2196	95.5175	70.6625
MTMR7	0.6396206791069202	1.8121705434951398	0.11021833750321432	45	0.9924999999999999	0.7475	49	1.295	0.9550000000000001
SLC7A2	-1.41561507341401	-3.4913410933421916	0.0011865053024362022	175	1.6974999999999998	1.3025	54	0.495	0.365
ARF5	0.1571065497634611	1.0076970314309075	0.4000853396659266	3209	196.9325	150.745	2537	183.885	136.23000000000002
SARM1	0.2667175606606695	0.5733040999082573	0.6471543061782132	21	0.165	0.1275	17	0.165	0.1225
PLXND1	1.3610643094823847	1.6278158749971983	0.15551539120228516	7	0.445	0.33749999999999997	10	0.6975	0.5175
AK2	-1.0263471092207084	-6.970080218018666	2.148804568018511e-11	5256	226.425	173.1	1831	100.6875	74.4525
CD38	0.6798177864971309	1.017014069191392	0.39534638009561157	6	0.305	0.22999999999999998	7	0.3025	0.22749999999999998
FKBP4	-1.1624436966688751	-6.786858178191501	7.31383345375225e-11	3698	120.3725	92.13499999999999	1181	48.34	35.64
KDM1A	-0.49643295321757247	-2.9369139291300437	0.007035200628104534	4818	103.02250000000001	78.6175	2523	56.8875	42.1275
RBM6	-0.4009040377309145	-2.448512407906584	0.02685793298949151	1514	38.59	29.4675	850	26.064999999999998	19.285
CAMKK1	1.2284541737962833	1.5470830244169451	0.17906248330442404	6	0.0975	0.0725	11	0.1875	0.14
RECQL	-1.6982227139839805	-8.243984549076792	1.8483712631328024e-15	2878	77.91749999999999	59.475	668	19.9825	14.790000000000001
CCDC132	1.2391937623103055	6.592156160446319	2.600236322702089e-10	851	28.795	22.005000000000003	1374	56.730000000000004	41.97
ARHGAP33	-1.0360716416731852	-2.120589987626005	0.05817719305799053	22	0.39	0.295	8	0.29	0.2175
NDUFAB1	-0.9098301520190243	-6.547873142031662	3.451649435480578e-10	1516	121.6125	92.9225	582	54.94	40.6575
ZMYND10	-0.09082170966235546	-0.2243206544278734	0.8644363110068335	21	0.655	0.5025	15	0.40750000000000003	0.3
ABCB5	0.5163546968442871	1.4508482141906733	0.21034287582615468	22	0.3025	0.23	21	0.42	0.3125
SLC25A13	-0.13636841560085922	-0.6119714221674663	0.6238762885922007	1105	23.8275	18.2175	737	19.7675	14.592500000000001
ST7	-0.0050815490400858915	-0.03008171329958815	0.9831040878425046	354	12.879999999999999	9.8625	256	11.72	8.6725
CDC27	-0.9585983284682527	-6.94070298014968	2.6201152174188298e-11	3968	73.81	56.3	1465	34.065	25.1875
SLC4A1	0.24290790307318122	0.06100820529537252	0.964873035120563	4	0.07	0.05	2	0.0625	0.0475
CALCR	3.7340063192988784	2.1812753324751912	0.050854823974831126	0	0.0075	0.005	3	0.0925	0.07
HCCS	-0.43181791951041604	-3.1188250424749957	0.0040566712156217145	844	34.855000000000004	26.62	441	21.244999999999997	15.7025
DVL2	0.8680854668093425	5.099192445507637	1.3078158715070965e-6	871	15.075	11.5375	1154	23.3775	17.295
PRSS22	7.2499572135206165	8.198877618845891	2.646806522558255e-15	39	1.7275	1.305	3464	196.205	145.66
UPF1	-0.4274185888597657	-2.661910390748377	0.015379755679801014	2434	24.2925	18.49	1283	15.135	11.195
SKAP2	0.6289749584015109	2.913610559234183	0.007539452631007993	563	15.7475	12.0275	567	19.11	14.14
SLC25A5	-0.4215111505206468	-3.506865811258745	0.0011221529899839776	5421	297.6425	227.5625	2882	180.0825	133.4725
CCDC109B	-0.8576731485770707	-3.895038126464155	2.6832567299892214e-4	764	30.63	23.5225	314	13.405000000000001	9.9525
HOXA11	-1.2050381361902245	-1.8580527333609256	0.10081358101546181	13	0.33	0.25	4	0.1275	0.095
POLR2J	-0.007145263959978746	-0.0348976902783452	0.9802194256525822	1031	87.655	67.07	718	72.68	53.9425
DHX33	-1.453872439461832	-7.77700851397108	6.837078938927243e-14	1023	12.3825	9.445	285	3.8225000000000002	2.8275
THSD7A	6.619230058012054	6.578340955655119	2.8375698836219804e-10	4	0.075	0.0575	243	4.4075	3.25
LIG3	-1.1052091709165182	-7.377934581416385	1.269742384825125e-12	819	14.3975	11.03	274	5.7725	4.265
RPAP3	-0.6876864315080948	-3.5540325463220475	9.478108625485763e-4	650	19.4525	14.790000000000001	287	10.47	7.7375
ACSM3	-1.1270548288656919	-2.1588246052530398	0.053460589475901876	20	0.55	0.425	6	0.25	0.185
