ensembl	gene	baseMean	log2FoldChange	lfcSE	stat	p.value	padj
ENSG00000197049	AL669831.1	0.6490926177841602	0.06366303220187065	0.3861138729045428	0.16488149395660223	0.8690372587128095	0.9999981730146691
ENSG00000187634	SAMD11	3.1854119525321103	0.1878625452852655	0.448416262655062	0.41894677095994654	0.675255034264157	0.9999981730146691
ENSG00000188976	NOC2L	9.469589817303213	0.26284766335534643	0.43702539122218903	0.6014471210019728	0.5475422217681682	0.9999981730146691
ENSG00000187961	KLHL17	11.223854138856009	-0.1291905937052841	0.4330167830315351	-0.29835008426422954	0.7654359820852876	0.9999981730146691
ENSG00000187583	PLEKHN1	5.0305811343481395	-0.20114518148950972	0.42069126059444956	-0.47813016416192117	0.6325575640233568	0.9999981730146691
ENSG00000187642	C1orf170	10.288889456413086	-0.1364465398787956	0.3553826453561053	-0.3839426085144692	0.701020985065705	0.9999981730146691
ENSG00000188290	HES4	4.21735052806452	0.20812274837129763	0.43210688985363754	0.48164644734499046	0.630057124875327	0.9999981730146691
ENSG00000187608	ISG15	11.856009893481096	0.013071844890821291	0.35094649141062256	0.03724740155765418	0.9702877438360643	0.9999981730146691
ENSG00000188157	AGRN	0.71677358063478	0.17828734106640348	0.38371190831548174	0.4646385405370805	0.642190327645371	0.9999981730146691
ENSG00000237330	RNF223	6.7907499218785485	0.15577173770292402	0.39227837873289134	0.39709488503059076	0.6912974916781843	0.9999981730146691
ENSG00000131591	C1orf159	1.691239933404988	0.6077631473247339	0.4476620882833276	1.3576381901254	0.17457851856578419	0.9999981730146691
ENSG00000162571	TTLL10	20.082571496848644	-0.15689551311084388	0.3554472911987151	-0.44140303498087546	0.6589212454348958	0.9999981730146691
ENSG00000186827	TNFRSF4	15.071586518007901	-0.010060756323393297	0.3815785665092267	-0.026366146336340473	0.9789652960673279	0.9999981730146691
ENSG00000078808	SDF4	11.223495875038655	0.2896407032136315	0.4131822864268687	0.7009998074176796	0.48330313539516645	0.9999981730146691
ENSG00000176022	B3GALT6	29.908743556194676	0.09951970486312264	0.4458713904119026	0.2232027149604393	0.8233777390089676	0.9999981730146691
ENSG00000184163	FAM132A	11.329216085768344	0.053680854882586275	0.4276501098641879	0.12552517500728366	0.9001077958852771	0.9999981730146691
ENSG00000160087	UBE2J2	3.07665835221222	-0.421855179473709	0.4509847541114636	-0.9354089592337859	0.34957758149626916	0.9999981730146691
ENSG00000162572	SCNN1D	13.141643748839892	-0.31405146268657963	0.3720170665308255	-0.8441856327055285	0.39856568172862344	0.9999981730146691
ENSG00000131584	ACAP3	5.979943759477402	0.6509739525678224	0.43504067239821903	1.496351936427559	0.13456196750276153	0.9999981730146691
ENSG00000169972	PUSL1	4.196882717583933	0.1872361506695385	0.4410628987899563	0.4245112231911041	0.671193022082767	0.9999981730146691
ENSG00000127054	CPSF3L	4.981461314541249	0.24704350817103374	0.43703936310723396	0.5652660355685583	0.5718928268012013	0.9999981730146691
ENSG00000224051	GLTPD1	4.395191482876063	0.5373364177681073	0.4500954658712216	1.1938276621561135	0.23254538863165222	0.9999981730146691
ENSG00000169962	TAS1R3	13.882148342303523	0.1263347093881545	0.4164823298336315	0.3033375015900922	0.7616326695125352	0.9999981730146691
ENSG00000107404	DVL1	1.584808811058972	0.5554825948410276	0.44999507486162577	1.2344192767261717	0.21704670957807515	0.9999981730146691
ENSG00000162576	MXRA8	15.054915605726158	-0.12535572429130087	0.3289470297561705	-0.38108179418497823	0.7031425561231086	0.9999981730146691
ENSG00000175756	AURKAIP1	4.108910339060891	-0.5050420000855941	0.43374584481961226	-1.1643731141577454	0.24427283831421562	0.9999981730146691
ENSG00000221978	CCNL2	4.805541477603807	0.5716639809902829	0.4426945934550174	1.2913281287867597	0.19658992075174803	0.9999981730146691
ENSG00000242485	MRPL20	13.597956584873629	0.26163745071818334	0.3404985862556448	0.7683951161011492	0.44225248103439996	0.9999981730146691
ENSG00000235098	RP4-758J18.6	5.908274215126944	0.031816669032753674	0.4458952450531634	0.07135458246243515	0.9431155553696592	0.9999981730146691
ENSG00000179403	VWA1	40.410606603766276	-0.19977316408666357	0.33219295918629255	-0.601376876186685	0.5475889966783977	0.9999981730146691
ENSG00000215915	ATAD3C	15.687505559902817	0.011720845197603745	0.34234130303827487	0.034237309648533165	0.9726879151730219	0.9999981730146691
ENSG00000160072	ATAD3B	2.436337624767725	0.12711694181605532	0.45259309456625807	0.28086363522156177	0.7788149932673354	0.9999981730146691
ENSG00000197785	ATAD3A	1.8368214157860734	0.12776205630561238	0.44635429037688534	0.2862346325779343	0.7746984199217386	0.9999981730146691
ENSG00000205090	C1orf70	21.90148925573036	0.039930903115370744	0.4390998857842434	0.09093808586183791	0.9275417874118216	0.9999981730146691
ENSG00000160075	SSU72	4.237114844327612	-0.2982061300975426	0.44597255156734233	-0.6686647621014253	0.5037093506017696	0.9999981730146691
ENSG00000215014	AL645728.1	15.88061633201681	0.28310597154945816	0.36256790540960676	0.7808357202208027	0.4348991221946584	0.9999981730146691
ENSG00000228594	RP11-345P4.5	25.549392525263777	0.07151610048809323	0.40227413338450235	0.17777951539264542	0.8588961354154561	0.9999981730146691
ENSG00000197530	MIB2	2.7089538293866275	0.20963266747060275	0.45108210690563155	0.4647328374620252	0.6421227896163517	0.9999981730146691
ENSG00000189409	MMP23B	9.572281491300803	0.07017629899276742	0.45289747704779937	0.1549496355117936	0.8768610226729177	0.9999981730146691
ENSG00000008128	CDK11A	1.0276942815467027	0.3266091572177292	0.40545248710093945	0.8055423695956222	0.4205067666977381	0.9999981730146691
ENSG00000189339	SLC35E2B	0.11456187801472678	0.10613531756473231	0.18866817990825538	0.5625501746841638	0.5737412283720528	0.9999981730146691
ENSG00000215790	SLC35E2	0.5824115873582812	-0.18380231013173426	0.3846401529500443	-0.47785523357881426	0.6327532456090827	0.9999981730146691
ENSG00000008130	NADK	8.937723876753694	0.44253273075743066	0.3788542680422492	1.1680816822897193	0.24277381835299483	0.9999981730146691
ENSG00000078369	GNB1	1.7519357775298643	0.25860225214761007	0.45118829673761657	0.5731581559572173	0.566537613525153	0.9999981730146691
ENSG00000169885	CALML6	8.360583986987143	-0.10612052851100118	0.3739600098393062	-0.28377507144842057	0.7765827596152747	0.9999981730146691
ENSG00000178821	TMEM52	14.81447074704035	-0.12375798620724297	0.35256508398229053	-0.35102167466322154	0.7255720877447178	0.9999981730146691
ENSG00000142609	C1orf222	8.503898568846976	-0.15555085722245326	0.37908211476721876	-0.4103355214159119	0.6815598382720891	0.9999981730146691
ENSG00000067606	PRKCZ	3.735006489032938	0.22107941105014584	0.4479570392816937	0.4935281548530864	0.6216394511647023	0.9999981730146691
ENSG00000162585	C1orf86	84.77528160273246	0.022402798483394278	0.25934988488897054	0.08638059929344125	0.9311638687996641	0.9999981730146691
